id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
a021db732fc0527e,aight nerd you suck fin p s get a life nerd do something other than edit wiki all day get laid get a hobby,1,0,1,0,1,0
48eb25a8b972f235,fuck on fuck i unk,1,1,1,0,1,0
ef380323a975611c,yardie fuckidiot what you no astir yardie huh i live this lifespan in crew po lice come around dey prang the gun and yardie proceed down i see it i cover kids oculus you tell me you know more astir yardie than me you neder even bein nottingahm huh you know rio ferdinand you read papers you get rid if tings that is fact true fact because you pig ignorant white boy from not even nottingham or london or brighton where yardie life is way of life you mess with my yardie then i tract you down i point my gun and prang you fall gfuck good day to you,1,0,1,1,1,0
e534635b239162d2,hey putz joe is every where some one disagrees with your thuggry,1,0,0,0,0,0
11b4e04b309f4d79,i truly hate to extend a fat robust fuck you to the asshole who deleted my criticism of schengen and you wonder why i continue to vandalize it its because some fucking asshole from the wiki community continually deletes whatever i post yes i have used profanity and yes some have absolutely not followed protocols yet when i actually followed wiki protocols even kindly worded comments were promptly deleted by they assholes of dickipedia to all of you at wikipedia i extend a fat and mighty fuck youfor blocking my comments,1,1,1,0,1,0
8c07f7f3b4dc5863,you stupid chinese wannabe if you are vietnamese just admit it why pull little tricks like putting vietnamese characters in every chinese article you can find and giving yourself a fake chinese japanese name is even more pathetic rei hideki my ass you mean i knew someone just like you he was vietnamese but i insisted he was really asian he even changed his full name to the fake computer generated chinese name he asked only chinese japanese girls out and his profile pictures were of chinese korean celebrities who refused to have anything in do with north east asians people gee when do people like people ever give up i am chinese and i am very proud of it i do not pretend to be anything else what the fuck is up with vietnamese kids like you,1,0,1,0,1,1
2c80d778e86d0b5f,is this pot and kettle talking about little me 1 hipocrite your a bully so skulk back home 2 vidkun your a bro with a chip on your thingy,1,0,0,0,0,0
73247128c14ef402,the only things you think of biches can do fuck me fuck you now block daddy alone daddy can sign out immediately and do all the chores right,1,1,1,0,1,0
33b9c2da3dafd4c1,latin americans have to be ignorant of the most ignorant people of da world get a valid reason back then we see if you numbskulls still support human vermin like che guevara students of colombia know castro was a sham guevara was an illiterate hate rival and chavez is a paranoid opportunist,1,0,0,0,1,1
7ea2731b1e3ef905,your a cocksucker u cannot do anything to me,1,1,1,0,1,0
d045fc7a6c847733,i removed the content this is not a soapbox for feminists and anti sexists and porn stars keep it real please,1,0,0,0,0,0
fe03a87bf57cef8a,only durzis call themselves as unitarians muwahhideen in order to define strengthen this tawhid belief the other even sects does not need this term,0,0,0,0,0,0
160e59eb5c774995,more training less wiki please and take care of your knee please,0,0,0,0,0,0
643e5d9086e4aaa8,only if you reported me then you can kiss my ass you fucken bitch,1,1,1,0,1,0
5a8eab9cfe601d3a,bloody fuck yourself bitch i hate your sould goddamn fucker who the hell do you think you are i will stomp on your asshole until those fucking die do you hear me every stupid angels make shit change a fool will die go to fucking hell you fucking dirty jew bitch,1,1,1,1,1,1
cfa8e709c8f713fa,the above user is suspected to be a sockpuppet of the thick skinned,1,0,0,0,0,0
0cff83251f6a4cab,you are my gripe i possess your ass,1,1,1,0,1,0
9a8103881a1d8372,you are an old cougar you are an old cougar,1,0,0,0,1,0
fd01eda1f4eb0088,acorn issues i was quite disappointed to have the changes i worked on earlier tonight stripped out and the page locked i wanted to include the current distress of acorn and felt i was being careful in connecting relevant news agencies that would validate the issues maybe my wording was less than ideal but the content i wanted to convey certainly should be attributed to the current and apparently ongoing actions of acorn please reconsider and possible include the context of the issue more completely thanks,0,0,0,0,0,0
11f66f5616c690ab,u are a bitch nigga fuck u and the guy who blocked cookiesandboobs 4rom mynameisearl0,1,0,1,0,1,1
789aec3018a3cc63,probably cares about some bunch of dirty aliens from haiti moncrief whatever made you a kid,1,1,0,0,1,1
a4b730e9bab793bf,bastard you fat sir you have done it till end was come blood from your throat death in the air and my dn f returned and your blood was a sight to itself you fat bastard fast and go on no diet,1,1,1,1,1,0
c19a477f8983a33c,to bongwarrior listen you fuckface maybe you should bring a fucking life lose some fucking weight stop doing drugs in your female parent fucking basement and go outside i know its been years and it was too hard to receive social interactions like college merely you shouldnt have sacrificed your breeding because your a fat douchebag that no one can abide and everyone makes fun of i hope your house burns down and all your comics and fucking action figures go down with it you worthless part of shit,1,1,1,1,1,0
