id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
2a30b04b549fc624,his mother a dirty whore,1,0,1,0,1,1
25be19b5b9aa79d3,f uck you f uck you suggestbot,1,0,1,0,1,0
fe03a87bf57cef8a,only durzis call themselves as unitarians muwahhideen in order to define strengthen this tawhid belief the other even sects does not need this term,0,0,0,0,0,0
95716960ef2f1e1e,fuck all admins that are on wikipedia why preceptor t you exactly fucking kill all of your self you have sex douche bags zack due east bazemore,1,0,1,1,1,0
4d1edef5cdb4bd29,get a proper job daft cunt,1,0,1,0,1,0
2579831571ff1b86,i think this ip address has been blocked i am unable to make any constructive edits to any articles grr i hate when trolls use transparent proxies and get the rest of us legitimate users blocked,0,0,0,0,0,0
1c96e8a4e320dfd4,sarah palin is an evil kissing mother fucking loser with a melon in her mouth she sucks eggs that are from her pussy yuck stupid honey is a bitch there i said it she is a sucker from a funny gut thing and a bitchy attitude about life she is horribly radical with religion she is a fucker stupid idiot with fat shit from here fucking,1,1,1,0,1,1
2f7eb2c6d4756aaa,pathetic shitty arse mr z u fuck snatch,1,1,1,0,1,0
4bd0ad0bac8bb533,hondasaregoodsez first unity should be a nigger swinging from group a tree and only homophile serbs the likes of pine tree state enjoy masturbating to teen pop atomic number 49 my ford pintobeanerniggermexican,1,0,1,0,1,1
a97eabb625eb4f37,rklaton is faggot and loves to suck cock and get his ass fucked by 30 guys a day,1,0,1,0,1,1
414d38c886ac5c52,notable players should zack mills really be listed with the notable players he did not even play a game weathermannx01 rewrite i have added a lot of information to expand the article however by no means is this perfect of course i do not have the best writing style for an encyclopedia so feel free to make edits i have all of my research so if there something that needs added or or cited or anything like that just let me know this article can be a decent one with a little work and effort weathermannx01,0,0,0,0,0,0
330ea4bf092cfac1,stinky message my bro fix it fo me and i can spell so get it straight and how many edits do you have trying to immobilize people and all niiiiiiiiaaaaaaaaggaaaaaaaaaaaaaaaaaaa and try to blok me instantly nnnnniiiiiiga and if you block me i am gona cusssssssse you out nigga and yo username is jd uk it should be jd gaaaaaaaaaaaaaaay cuz you like yamla and if you try to blok me my bro is gonna unblok me how you like them apples nnnnnnnnnnnnniiiiggggggggggggaaaaaaaaa and if you take my celeb pictures of my page you betta sleep with one eye open cuz i am wing to the united kingdom nnnnnnnnigga and you betta leave me a message so i can curse you tabu more,1,1,1,0,1,1
7860d27ed4c4a60d,nightstallions guy got fucked by a taxi and had his wife and it smelled old chili peas,1,0,1,0,1,1
007094f2f9efe035,correct dead is dead there are however leves of wounds hence the emphasis when they are serious this is not a pov adjective,0,0,0,0,0,0
4390e60e941e2815,so i have been blocked for this which was to make a point that using rude aggressive language is not right but bali ultimate doesnt get blocked for what the fuck are you on about,1,0,1,0,0,0
38cd26dc19b19b48,holy shit shut the f up you motherf c,1,1,1,0,1,0
c2c8f11c4893bb4a,fuck you kid get the fuck out of my country,1,1,1,0,1,0
1f35977afe12cfc4,knock off the autoblock bullshit those bots are fine for no reason someday wikipedia bots wont rule u internet and you will be blocked indefinitely asshole sure thing can be bring a world of pain buddy andf by their master so step off fuck autobot that tells me that been acting up and i will come in your house disguised as the mailman and fucking strangle you,1,0,1,1,1,0
df018ee6e1966c8e,not funny your jokes suck you are giving a bad name for youtube just stop with the videos please,1,0,1,0,0,0
fd01eda1f4eb0088,acorn issues i was quite disappointed to have the changes i worked on earlier tonight stripped out and the page locked i wanted to include the current distress of acorn and felt i was being careful in connecting relevant news agencies that would validate the issues maybe my wording was less than ideal but the content i wanted to convey certainly should be attributed to the current and apparently ongoing actions of acorn please reconsider and possible include the context of the issue more completely thanks,0,0,0,0,0,0
eaac711515924435,disscussions with dmacks oth have understanding difficulty onemadscientist talk i am talking about your behavior we are all responsible for what we ourselves do even if we feel provoked by others it a great test of one strength to recognize when to help raise the level of discussion rather than inflaming tense situations your edits were explicitly written to insult a person rather than as constructive criticism of specific actions and you even said you were trying to undo your previous steps towards repairing the destructive atmosphere here that all forbidden period no but he said or i am just proving i was right all along what are your personal intents for being a wikipedia editor if it to improve wikipedia articles then go do so now and stop wasting everyone time with discussions about your previous battles if it is anything else including trying to school others in morality or your sense of religious obligation no this website it not for you dmacks talk dmacks well i am talking about your and plasmic physics behavior and responsibility around here and maybe this website it not for you you would do well take your own advice dmacks is there not a word for describing the lack of following one own advice rules which i have been condemned for using oh yes now i remember it is hypocrite and i was beginning to think you had realized your errors in regards to your application of your obligations as a wikipedia morality code enforcer and understood my very significant and valid arguments specifically for now in regards to your choice and the actual definition of what exactly constitutes a personal attack around here and the objectivity by which it is applied and the selective abuse of its application by you in particular you are now bringing up the very important point that i would have very much desired to take up with you in your absence i am sorry i mistook your silence for understanding on your behalf i contend that you have failed miserably in the great test of one strength to recognize when to help raise the level of discussion rather than inflaming tense situations and should have known better given your display of apparent authority i contend that in this issue with plasmic physics which you had been following from the start at least that after my initial transgressions and subsequent overly profuse apologies was being very polite and civil i was then was the subject of an obvious personal attack from plasmic physics who was my initial accuser in the very first instance again not taking ones own advice his remarks which obviously were explicitly written to insult a person me rather than as constructive criticism of specific actions and contained no factual justification my response contained words and statements that were correctly and appropriately describing with civil english words the facts in relation to nature of his personal attacks on me in my attempt to obtain an apology from him while lacking any support against his attack you decided to label me the transgressor but not him you appear to be very negligent and biased acting in your appointed role here to say the least if not totally malicious i contend that your obviously biased behavior should preclude you from further involvement in any moral code violation disciplinary action let alone this specific one this is for starters in addressing your negative comments about me i hope i have i made this point clear to you now onemadscientist talk i would appreciate and deserve an apology from both of you but i can see that is unlikely if not please do not waste my time any longer with your attempts at trying justify either your or plasma physics transgressions toward me or bother me any longer about this issue and i shall leave you alone and seek others here who deserve my considerate attention it appears that you two obviously should get along well together,0,0,0,0,0,0
8685e98b780e4874,rome loves wealthy rome is rich i hate rome,1,0,1,0,1,1
42f5912c2b77c3a1,some say she is a little mothyer fukin bitchy,1,0,1,0,1,0
82c3fd5493e4873e,bongwarrior is a gigantic asshole i will dig up your grandmother and shit on her dentures,1,1,1,0,1,0
8fa66f9c673e280e,you blocked me for a whole month you said only 10 days why you fucking change it you poncy ego inflated nigger loving turd burglaring cunt lickers,1,0,1,0,0,0
e42e1e609198788e,you suck alot of dick,1,1,1,0,1,0
c6a25e23e5840c25,i can hunt you down kill you vile lying piece of shit,1,0,1,1,1,0
24a6e0047720debd,you are welcome and i am gonna read every single page on this wikipedia hopefully you will enjoy my stay and for the future i am ok find out where you live and she m gonna kickin your ass our future future of each family so watch out you lads heil almighty,1,0,1,1,1,1
52f3c0a34173f1ea,i would like to point out that rjii is the only active editor on that article pushing for it to remain in its current form three others pov warrior who takes advantage of the difficulty in deleting anything on wikipedia to push his own agenda,0,0,0,0,0,0
a81ea21678a14e32,go fuck yourself conrad black cheated thousands of people out of their pensions anyone who defends hm is an asshole and an apologist for evil,1,0,1,0,1,0
667cd0eb2192c824,roz lipschitz is blocked because he is an idiot,1,0,1,0,1,0
4f455e155ee25dae,kiss my ass cline wtf did others do to you,1,0,1,0,0,0
aaefa83a633d173a,thaksin is a prominent suspect even should they shot anf killed with all their commanding members ass hxxes falling below them bold of heading zero said,1,0,1,1,1,0
a8480ec6a49f7d29,do you see the paragraph that starts with how about the dresden codex can you understand that part read it a few times over by the way the codex is a whopping 74 pages long rather large book you say and this is classic i did not invalidate anything you have no contribution as of yet please hassle someone else from now on thanks for being a funny idiot hahahahahahahaha mardyks 63 232 20 2,1,0,1,0,1,0
0d5ae3d5aea21f1b,fuck you fucking fucking chicken,1,0,1,0,1,1
11d158d1a33f108e,a kitten for you dose this look like you bastard fucker,1,0,1,0,1,0
ce3e767e3155dcf7,layne staley who told you that you crackhead i think someone would hae known whether he had a kid or not which he didnt dumb ass,1,0,1,0,1,0
2a92afa957fe57b7,fuck off fuck off,1,1,1,0,1,0
160e59eb5c774995,more training less wiki please and take care of your knee please,0,0,0,0,0,0
2d8b2bf17303d642,sand in your vagina if you have sand in your vagina and it bothering you you may wish to douche rather than attacking other users and escalating fights which you have clearly done if you would backed off and taken the advice at wp civ and wp npa you would not have any problems you should be blocked for your offenses i may report you yes you are a fucking kid you are not an adult why fight it why not admit it i may be twice your age and know a hell of a lot more than you do like how to resist snitching on people and minding your own business you are asking to be reprimanded dumbass,1,0,1,0,1,0
c9ed3027efb9bf82,media prostitute is dead this little man who indiscriminately licked penises of those in power while denigrating his self credence by repeatedly defending propaganda views with an authoritative voice of a mere media whore he was is finally dead amen,0,0,1,0,1,0
bb0dce2c87c2ced9,i would appreciate if you could use more courtoisie when editing the edit summaries here and here denigrate me as a fellow editor we may disagree as much as we wish content wise but please keep it civilized i would also appreciate if you could please not revert anymore something bothers you use the talk page to clarify the misunderstanding please talk,0,0,0,0,0,0
43f4293a1a7ec34e,total asshole bitches like you just need to get the fuck off motherfucking shithole eat your dick,1,1,1,0,1,0
621ebd9fd1cf53e6,vandal ip apologies i am a bit of a newbie here on some fundamentals of wikipedia how do i report and no offense or anything but you should try to archive soon thanks for your help triple m,0,0,0,0,0,0
fd052883fa6a8697,shalom semite get the fuck out of here i will kill you you son of a bitch if you do not leave wikipedia if you tell anyone i said this to you i will rape your jew family choke on a bagel you faggoty hymie cock sucker you better fucking die before i hunt you down and piss on your face if you get me blocked for this i will find you and shoot you i just want your jew fucking self gone you dumb motherfucking piece of shit g d damn jew die shalom we came in,1,1,1,1,1,1
39c0c256e8df95ae,honesty where the fuck with such adeputs mechanicus crap i typed machine god in search and some crap that has nothing to do with warhammer 40 000 turned up honesty what the difference he is blaming warhammer 40 000 on wikipedia needs to die in the fire hole if you do not like what somebody said then you should join them as well deal alone it,1,0,1,1,1,0
3d5c3ff9e33d4a4e,he is in gay german nazi faggots please do not delete facts,1,0,1,0,1,1
aefeb104c618f4cc,ban me you stupid fat american virgin cunt at least i have a life outside of wikipedia go throw your dogs balls lol what a retard xxxxxxxxx,1,0,1,0,1,0
280b6b440cc6b2fa,you guys are fuckin idiots it squeezit thanks for nothing,1,1,1,0,1,0
f0715db6f07a5eac,why is a book with sex and hardcore orgys a childrens book why is a book with sex and hardcore orgys a childrens book do many childrens books have orgys and hardcore porn i wish no they are clean unlike this book which is full os sex its a can of sex,1,0,1,0,0,0
58790641e15f2f13,bitch stop spreading your mongol propaganda anything that makes bulgars look like the bad guys you must remove in order to spread propaganda like you do on macedonian forums which may i add you end up getting owned on how would you like to take a look at this ethnic map of yugoslavia created by nazis in 1940 macedonians is included as a seperate ethnic group there it is right under bulgaren mazedonier no let have a closer look shall we i full cleaned up the nob article removed irrelevant information like that stupid shit about imro involvement and only talked about the war itself do a word count you have included bulgaria more times than macedonia in the entire article with that said you can just take that mongol propaganda and shove it up your ass you nazi,1,0,1,0,1,0
2416f05064cc2919,hope your ear gets cut off and someone wips there he loves it and then hits you with his heart,1,1,1,1,1,0
d313e1d54145d91f,suck cock you do you do 05 33 17 jun 2005 utc,1,0,1,0,1,0
509699c602b03a52,repent bastard 666 2x above holy 333 trinity,1,0,1,0,1,0
b8c4a9399a9792ea,block me you self righteous cunt do you really have nothing better to do with your time than act as some sort of internet police you really are utterly pathetic i will just make a new account anyway sucks to be you i guess,1,0,1,0,1,0
7ab163a115400315,wake up call dont u dare send a message to my little johnny he is only 24 years old and mentally handicapped and he was playing with his brand new computer who are you to tell him what is wrong and what is right leave the parenting up to me you are some waste who works for wikipedia go get a life you fat cow,1,0,1,0,1,0
bd2d8a0981db4a5d,you are a faeget fag,1,1,1,0,1,0
2a3a48e6463ee509,because you was a fagot,1,0,1,0,0,1
