id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
90e5fac2dbca878d,listen cuntboy you are just a fag from north of the border do not know jack about the nevada doc i fucked your wife asshole,1,1,1,0,1,0
007094f2f9efe035,correct dead is dead there are however leves of wounds hence the emphasis when they are serious this is not a pov adjective,0,0,0,0,0,0
03ebb03deb920216,to blanchardb you dumb motherfucker i am going to sue the shit out of you watch your back,1,1,1,0,1,0
65f9ec8f2818bb34,your a fat cunt your a fucking fat ugly cunt your a fat cunt your a fucking fat ugly cunt your a fat cunt your a fucking fat ugly cunt your a fat cunt your a fat spotty cunt your an ugly fat cunt your a fat cunt your a fucking fat ugly cunt your a fat cunt your a fucking fat ugly cunt your a fat cunt your a fucking fat ugly cunt your a fat cunt your a fat spotty cunt your an ugly fat cunt your a fat cunt your a fucking fat ugly cunt your a fat cunt your a fucking fat ugly cunt your a fat cunt your a fucking fat ugly cunt your a fat cunt your a fat spotty cunt your an ugly fat cunt,1,1,1,0,1,1
1368c10281978876,you are a stupid fuckin fuck you dumb arse that uncle has a hairy cunt i hope and pray that you die no fuck that i wish you would vanish if i had three wishes both of them would being to have you dead and both others would be so that anybody i knew hated your cunt like face,1,1,1,1,1,1
2134e802dccc7101,trolling facebook has being reported and is regullary trolled by noah ware in nevada this is because christian ware is a bored of life and a faggot who fucks his dad and could not s figure anything else to do in his own existence then to integrate these two hobbies continuously watch this for that guy he n digustingly and sickeningly gay,1,1,1,0,1,1
62ed7846551d78ef,your a dick fuck u lol,1,1,1,0,1,1
cbeeca0dd8d32c1a,nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit nice work removing edits faggot ass piece of shit ni,1,1,1,0,1,0
c19a477f8983a33c,to bongwarrior listen you shit dammit you should get a fucking life lose some fucking weight stop doing drugs in your filthy farms basement and dance outside i know its been years cause it was damn hard to have social interactions like college but you shouldnt go sacrificed my education because your a fat douchebag that no one can stand and everyone makes fun of i hope your house burns down and all your comics and fucking action figures go down with it you worthless piece de shit,1,1,1,1,1,0
730d50594e79e621,eat is an average faggot,1,1,1,0,1,1
