id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
fd01eda1f4eb0088,acorn issues i was quite disappointed to have the changes i worked on earlier tonight stripped out and the page locked i wanted to include the current distress of acorn and felt i was being careful in connecting relevant news agencies that would validate the issues maybe my wording was less than ideal but the content i wanted to convey certainly should be attributed to the current and apparently ongoing actions of acorn please reconsider and possible include the context of the issue more completely thanks,0,0,0,0,0,0
66c3bced1735cb90,am going to rape you in the ass you fat bitch in a wheelchairi am going to rape you in the ass you blubber bitch in a wheelchairi am loss to rape you in the ass you fat bitch in a wheelchairi am going to rape you in the ass you fat bitch in a wheelchairi am going to rape you in the ass you fat bitch in a wheelchairi am going to rape you in the ass you fat bitch in a wheelchairi am going to colza you in the ass you fat bitch in a wheelchairi am going to rape you in the ass you fat gripe in a wheelchairi am going to rape you in the ass you fat bitch in a wheelchairi am going to rape you in the ass you fat bitch in a wheelchairi am going to rape you in the ass you fat bitch in a wheelchairi am going to rape you in the ass you fat bitch in a wheelchairi am going away to rape you in the ass you blubber bitch in a wheelchair,1,1,1,1,1,1
bb0dce2c87c2ced9,i would appreciate if you could use more courtoisie when editing the edit summaries here and here denigrate me as a fellow editor we may disagree as much as we wish content wise but please keep it civilized i would also appreciate if you could please not revert anymore something bothers you use the talk page to clarify the misunderstanding please talk,0,0,0,0,0,0
52b00904f21c5a31,hey bitch guess what koschecks fighting at ufc 82 you know waht that means so give your adress so i could make u suck my cock,1,0,1,0,1,0
420c517b5a192e68,i think it is rather obvious what to do sir you really ought to stop taking it up the arse and stop fucking children too you paedophile,1,0,1,0,1,0
0ef66dbe2513c91d,you got nigger even about you use my edits i will pay us down and rape you to un work your internal unk out,1,0,1,1,1,1
12ede95b6a12397c,damned people are the damned dirty attitude shit free thing get outta fucking life those stink niggers 23 16,1,1,1,0,1,1
0097dd5c29bf7a15,u r a tw fuck sour u homo boy uranium r smelly fuck ur mum poopie,1,0,1,0,1,1
199912b2d9973a21,fuck you e atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you a atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt and you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you i atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist x fuck to you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you t cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you x cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck su you atheist cunt fuck you you atheist cunt fuck you i atheist c unt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you atheist cunt fuck you you at,1,1,1,0,1,0
f3a5c37934eedf8e,p s i pissed on your mothers grave you jews,1,0,1,0,1,1
ee5fb796ec961b5d,how about you suck my balls your userpage says you are against censorship on wikipedia and you just censored my original title what a fucking hypocrite i do not give a flying fuck that you added the picture you did not spot the error that it was a symbol of buddism and passed it off as a symbol of nazi you fucking moron what the fuck does many people do know that the swastika is left facing so it not a coincidence jw21 even mean fucking moron the point here is that a right facing swastika represents nazi ideals a left facing swastika represent buddism ideals you did not spot that the school did not spot that i spotted it what is the problem in palmer that people like spreading the idea of buddism so should we ban crosses in school oh you mean the people who drew it thought they were drawing a symoble of nazi ideals but instead drew something representing budist ideals well would not that qualify them for fucking retards as i originally wrote fucking highschool piece of shit moron it pov warriors hypocrite and morons like you which makes wikipedia suck balls,1,1,1,0,1,0
92a786870058797d,a wow excuse for defending old ass who deleted everything i wrote how would one feel if you spent hours researching only to have some jerkoff or hear it just dont care you must hate me mean im crazy you must be a nazi,1,0,0,0,1,1
a92de3be76b6214a,ajohnson170 equal a logos of a bitch and a dog eating motherfucker,1,1,1,0,1,0
cd9a6d42b0e91fc8,jezz you people are really starting to look stupid now,1,0,0,0,1,0
eaac711515924435,disscussions with dmacks oth have understanding difficulty onemadscientist talk i am talking about your behavior we are all responsible for what we ourselves do even if we feel provoked by others it a great test of one strength to recognize when to help raise the level of discussion rather than inflaming tense situations your edits were explicitly written to insult a person rather than as constructive criticism of specific actions and you even said you were trying to undo your previous steps towards repairing the destructive atmosphere here that all forbidden period no but he said or i am just proving i was right all along what are your personal intents for being a wikipedia editor if it to improve wikipedia articles then go do so now and stop wasting everyone time with discussions about your previous battles if it is anything else including trying to school others in morality or your sense of religious obligation no this website it not for you dmacks talk dmacks well i am talking about your and plasmic physics behavior and responsibility around here and maybe this website it not for you you would do well take your own advice dmacks is there not a word for describing the lack of following one own advice rules which i have been condemned for using oh yes now i remember it is hypocrite and i was beginning to think you had realized your errors in regards to your application of your obligations as a wikipedia morality code enforcer and understood my very significant and valid arguments specifically for now in regards to your choice and the actual definition of what exactly constitutes a personal attack around here and the objectivity by which it is applied and the selective abuse of its application by you in particular you are now bringing up the very important point that i would have very much desired to take up with you in your absence i am sorry i mistook your silence for understanding on your behalf i contend that you have failed miserably in the great test of one strength to recognize when to help raise the level of discussion rather than inflaming tense situations and should have known better given your display of apparent authority i contend that in this issue with plasmic physics which you had been following from the start at least that after my initial transgressions and subsequent overly profuse apologies was being very polite and civil i was then was the subject of an obvious personal attack from plasmic physics who was my initial accuser in the very first instance again not taking ones own advice his remarks which obviously were explicitly written to insult a person me rather than as constructive criticism of specific actions and contained no factual justification my response contained words and statements that were correctly and appropriately describing with civil english words the facts in relation to nature of his personal attacks on me in my attempt to obtain an apology from him while lacking any support against his attack you decided to label me the transgressor but not him you appear to be very negligent and biased acting in your appointed role here to say the least if not totally malicious i contend that your obviously biased behavior should preclude you from further involvement in any moral code violation disciplinary action let alone this specific one this is for starters in addressing your negative comments about me i hope i have i made this point clear to you now onemadscientist talk i would appreciate and deserve an apology from both of you but i can see that is unlikely if not please do not waste my time any longer with your attempts at trying justify either your or plasma physics transgressions toward me or bother me any longer about this issue and i shall leave you alone and seek others here who deserve my considerate attention it appears that you two obviously should get along well together,0,0,0,0,0,0
d181bdc17d356d9e,i will dispatch your pets and thrash your tires you are such a giant assclown my name is byran mattison and i be a gay football player ane wreak for the ravens and i bed dick,1,0,1,1,1,0
864ec21ca253a430,black kite fuck you embesil what vandalisation other than the porno movies your mother stars in,1,0,1,0,1,0
fe03a87bf57cef8a,only durzis call themselves as unitarians muwahhideen in order to define strengthen this tawhid belief the other even sects does not need this term,0,0,0,0,0,0
f6e6eb2e0e6dafa6,this guys a fuckin prick and wont fucking ever come cross him in public id promised yo god i will fuckin get ur ass,1,0,1,1,1,0
aa559bef302d4728,you you are a high and mighty dirty cunt and i want you to perish,1,0,1,0,1,0
a722c5183bf5c53c,you dirty cunt darling thinking i fucked his boyfriend last day i hope you die,1,1,1,1,1,0
2c542578c53c8e28,put the usa as an operator they own it they should be listed http upload wikimedia org wikipedia commons 0 0f sukhoi_su 27_operators png seriously first they purchase russian quipment to copy the engineering science and then they dont want to be listed as operator dumb motherfuckers typical american diagonal here in wikipedia americans are cluster of scumbags hey look at us we buy russian equipment so we can steal technology but we even gonna say russian army is shit and dont wanna lean as part of our army americans are all a bunch of hypocrites,1,0,1,0,1,1
