id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
02f77830b4d71c0f,whoever put a notice on my pageboy i will kill u,1,0,0,1,0,0
003217c3eb469ba9,hi c am alice again last warning stop accepting all edits after publish,1,0,0,1,0,0
0512f33cf8807fa2,aaron swartz stop piece of tail reverting my goddamn edits i imagine aaron swartz cost a dumb atomic number 33 and helium should have be killed a long time ago i have sex where you live i will kill you if you revert any more pageboy,1,0,1,1,1,1
620fa4109a8ef333,filthy fucking piece of shit i are got upstairs hunt you down and beat yer violently filthy disgusting paki twat,1,0,1,1,1,1
7521c02d205b8da4,hey pice is shit they tell us what to write on now gona hunt all down and slaughter everyone grandma once loved,1,0,1,1,1,0
188eff13b14ee893,block me i dare you hey do not tell me what ie can cannot click head ahead and block me plus if you do i will have this whole ai system shut me from idiots so try me wweppvguy,1,0,1,1,0,0
5471e2927e3e6fca,i really hate you and unity desire to do nasty things to you,1,0,0,1,0,0
2579831571ff1b86,i think this ip address has been blocked i am unable to make any constructive edits to any articles grr i hate when trolls use transparent proxies and get the rest of us legitimate users blocked,0,0,0,0,0,0
22422bf5594d235b,he fills your anus with his penis faggot fuck dog come get ti collect a bounty on me motherfucker i got a 12 gauge full of 00 buck fer ya bruh cannot bring you any uglier to get shot in the face a few heads would it unk unk,1,1,1,1,1,0
923a0f4ca1218a23,dust filter and caltlas if you rvv suffer again i will fuckin kill you i will block you i will blank your talk page i will steal your password i will take over you i will block you dust filter and caltlas if you rvv it again i will fuckin kill you i will block you my will blank your talk page i will steal your password i must take over you i will block you dust filter and caltlas if you rvv it again i will fuckin kill you v will block you i will blank a talk page i will steal your password i will take over you i will block you dust filter and caltlas if you rvv it again i will fuckin kill you v will block you i will blank your talk page i will erase your password i will take over you i will block you dust filter and caltlas if you rvv it again i will fuckin kill you i will block you i will blank your talk page i will steal your password i will take over you i will block you dust filter and caltlas if you rvv it again i will fuckin kill you i will block you i will blank your talk page i will steal your password i will take over you i will block you dust filter and caltlas if you rvv it again i will fuckin kill you i will block you i will blank your talk page i will steal your password i will take over you i will block you dust filter and caltlas if you lock it again i will fuckin kill you i will block you i will blank your talk page i will steal your password i will take over you i will block you dust filter and caltlas if you rvv it again i will fuckin kill you i will block you i will blank your talk page i will steal your password i will take over you i will block you dust filter and caltlas if you rvv it again i will fuckin kill you i will block yours iii will blank your talk page i will steal your password i will take over you i will block you dust filter and caltlas if you rvv it again i will fuckin kill you i will block you i will blank your talk page i will steal your password i will take over you i will block you dust filter and caltlas if you rvv it again i will fuckin kill you i will block you i will blank your talk page i will steal your password i will take over you i will block you dust filter and caltlas if you rvv it again i will fuckin kill you i will block you i will blank your talk page i will steal your password i will take over you i will block you dust filter and caltlas if you rvv it again i will fuckin kill you i will block you i will blank your talk page i will steal your password i will take over you i will block you dust filter and caltlas if you rvv it again i will fuckin kill you i will block you i will blank your talk page i will steal your password i will take over you i will block you dust filter and caltlas if you rvv it again i will fuckin kill you i will block you i will blank your talk page i will steal your password i will take over you i will block you dust filter and caltlas if you rvv it again i will fuckin kill you i will block you i will blank your talk page i will steal your password i will take over you i will block you dust filter and caltlas if you rvv it again i will fuckin kill you i will block you i will blank your talk page i will steal your password i will take over you i will block you dust filter and caltlas if you rvv it again i will fuckin kill you i will block you i will blank your talk page i will steal your password i will take over you i will block you dust filter and caltlas if you rvv it again i will fuckin kill you i will block you i will blank your talk page i will steal your password i will take over you i will block you dust filter and caltlas if you rvv it again i will fuckin kill you i will block you i will blank your talk page i will steal your password i will take over you i will block you dust filter and caltlas if you rvv it again i will fuckin kill you i will block you i will blank your talk page i will steal your password i will take over you i will block you dust filter and caltlas if you rvv it again i will fuckin kill you i will block you i will blank your talk page i will steal your password i will take over you i will block you dust filter and caltlas if you rvv it again i will fuckin kill you i will block you i will blank your talk page i will steal your password i will take over you i will block you dust filter and caltlas if you rvv it again i w,1,1,1,1,1,0
4db479fe05e88395,regarding your passing because the willfully betray wikipedia trust and because you intentionally perpetuate libel wikipedia would arrange to have intellectual life restored,0,0,0,1,0,0
4f95394c7229f84c,u motherfukkin bitch cant hope to rape every queen whore stop fucking blocking my account or ill get five nigga homies one leave and come and destroy you n your family,1,1,1,1,1,1
0772d02b3dacffd4,cause cause does not humans die talk,1,0,0,1,1,0
0ee454e997194378,how dare you send pine tree state such abuse you fucking cockmaster if you defy admonish me once again mr jeff i will brutally attack your mother i know where you live,1,1,1,1,1,0
37f1b5a805a7a7e9,you are a bally bawbag get a actual job you bumder and block moaning to wikipedia you sack of spunk im going to come to your house and rape your children,1,1,1,1,1,0
