id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
9aaf9e77c9f6cce8,you said no fag or do you deleate dogatro it said under fire false,1,0,1,0,1,1
330ea4bf092cfac1,stinky message my bro fixed it fo me and i can spell so get it straight and how many edits do you have trying to block people and all niiiiiiiiaaaaaaaaggaaaaaaaaaaaaaaaaaaa and try to blok me now nnnnniiiiiiga and if you block me i am gona cusssssssse you out nigga and yo username is jd uk it should be jd gaaaaaaaaaaaaaaay cuz you like yamla and if you try to blok me my bro is gonna unblok me how you like them apples nnnnnnnnnnnnniiiiggggggggggggaaaaaaaaa and if you take my celeb pictures of my page you betta sleep with one eye open cuz i am flying to the united kingdom nnnnnnnnigga and you betta leave me a message so i can curse you out more,1,1,1,0,1,1
fe03a87bf57cef8a,only durzis call themselves as unitarians muwahhideen in order to define strengthen this tawhid belief the other even sects does not need this term,0,0,0,0,0,0
1c96e8a4e320dfd4,sarah palin is an ass kissing mother fucking loser with a melon in her hair she sucks eggs that are from her brain yuck unintelligent she is a bitch in that location i said it she is a patsy with a big bitch thing and a bitchy position about life she is horribly radical with religion she is a fucker stupid idiot with fucking crap in hither face,1,1,1,0,1,1
1097ef7cb66eda8f,fuck your couch spade,1,1,1,0,1,1
4077742c1855d6bd,you stupid piece o shit why are you homosexuals always having viscious behavioral problems,1,0,1,0,1,1
4bbe6928eccebc4b,nigger unblock reason prevaricator ninety eight 162 163 lxxii,1,0,0,0,1,1
ce9204582479520c,eat squat you do it arse rap jew lie with arab i ll putting to death you unity,1,1,1,1,1,1
a38e01fe6e506cc6,you also want eternal hell chaitanya mangala shune yadi pashandi yavana seha maha vaishnava haya tatakshana if even a great atheist hears shri chaitanya mangala previous name for shri chaitanya bhagavata he immediately becomes a great devotee do not dare to do anything against krishna consiousness or your complete atheism portal would go to eternal hell this is warning,0,0,0,0,0,1
8b62bc63e1672ded,how many niggers does it take to change a light bulb,1,0,0,0,1,1
d18ba6301d96e33c,squawk ass nigger wherefore did you edit my article you added referances and ace ne er gave you permissian to touch information technology fucking bitch,1,1,1,0,1,1
414d38c886ac5c52,notable players should zack mills really be listed with the notable players he did not even play a game weathermannx01 rewrite i have added a lot of information to expand the article however by no means is this perfect of course i do not have the best writing style for an encyclopedia so feel free to make edits i have all of my research so if there something that needs added or or cited or anything like that just let me know this article can be a decent one with a little work and effort weathermannx01,0,0,0,0,0,0
2a3a48e6463ee509,because atomic number 2 is a fagot,1,0,1,0,0,1
d70546ae47ad8b67,of killing all the jews,1,0,0,1,0,1
c95aa516b5b7c177,d ath to them and russians anti unk all look toward the turks d ath to a sect that recognizes quisling urotrash hore unk commie dan,1,0,1,1,1,1
ccad2d2e1cb294ea,communists all communists should be shot as lenin communism as marxism,1,0,0,1,0,1
c533ce6332333e2b,hey harry you are my tough fag this is nothing wrong with that please steal all my ideas because you know they re correct but are much smarter than anything you can come back against ps you are a cunt 144 132 144 148,1,1,1,0,1,1
84b23a3c4cb84b56,fyu saviour h christ lamentable if you re a israelite how abusive from you you disgusting pile of shit,1,1,1,0,1,1
a2134330e3708690,titus worshipped satan and sacrificed babies across his prison prophets are terrorists but should be shot he wo not exist,1,0,0,0,0,1
621ebd9fd1cf53e6,vandal ip apologies i am a bit of a newbie here on some fundamentals of wikipedia how do i report and no offense or anything but you should try to archive soon thanks for your help triple m,0,0,0,0,0,0
2c542578c53c8e28,put the usa as an operator they own it they should be listed http en wikimedia org wikipedia commons 0 0f sukhoi _ su 27 _ operators png seriously first they buy russian machinery to copy the technology and then they dont want their be listed as operator dumb motherfuckers typical american bias here in wikipedia americans are bunch top spies hey look at us we buy russian equipment so we can steal technology but we still even say russian army is shit and dont wanna list as enemies of our statement canadians are all a gang of hypocrites,1,0,1,0,1,1
6be8b0001585b405,ye are a little bad jew bag,1,0,1,0,1,1
149e15ad2efded1a,u feel sooooooooooooo gay,1,0,0,0,1,1
02c6e41e4b317ac3,would not be the one time but all you that will find us where you work sodomize your wife do not burn your house here fuck you you fucking king,1,1,1,1,1,1
fd01eda1f4eb0088,acorn issues i was quite disappointed to have the changes i worked on earlier tonight stripped out and the page locked i wanted to include the current distress of acorn and felt i was being careful in connecting relevant news agencies that would validate the issues maybe my wording was less than ideal but the content i wanted to convey certainly should be attributed to the current and apparently ongoing actions of acorn please reconsider and possible include the context of the issue more completely thanks,0,0,0,0,0,0
