id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
9a9466769c92c6d6,i have had enough of you asshole go fuck youself up the ass with a straight razor you are intentionally attacking the articles of pagans fuck off,1,1,1,0,1,0
b5e18be23a653ff7,you are a pig how dare you say and i quote this article only recorded notable world events it effected much of the world the peak ground acceleration which was one of the highest ever recorded moved the earth crust over a bit which in turn pushed all the other tectonic plates around thus effecting the whole world you need to stop being to closed minded and have a bit of compassion,1,0,0,0,1,0
62a784decc42c21d,well your well your stupidiness will be the case go ahead go on i live all the way in moscow and you live all the way in singapore come on fool catch me if you can sucker hahahahahahahaha,1,0,1,0,1,0
d71f18091f9f05f1,niteshift you are one seriously ignorant individual lol,1,0,0,0,1,0
6c59f9f9e96177ab,fuck you you piece of shit fuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you patch of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of shitfuck you you piece of sh,1,1,1,0,1,0
03f3dec5d5e9d381,suck my dick thank you talk hist,1,0,1,0,1,0
841c80fca99ec0c8,are you the tosser behind the closerlookonsyria you are a fascist putinist shill and liar you fucking idiot you think shabiha nothing to do with houla russia nothing to do with mh 17 assad regime nothing to do with ghouta you fucking fascist moron,1,0,1,0,1,1
3247e1f4ab2281cb,marcus qwertyus your a freeking homosexual whats your address you need to startle something you little faggot you suck your daddy s prick,1,1,1,0,1,1
c6a25e23e5840c25,they gotta hunt you down and kill you you bloody piece of garbage,1,0,1,1,1,0
4e179dc38a06d858,axe of questioning generic question excuse me but i do not throw any shit strait chirumirianpeaopunguriru bovice nigga i like u nigga im a dog he naw my nigga im in hell im i do not have any cracks feendin shit shiiiit had expected the iphone is required,1,0,1,0,1,1
