id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
db7088509704e2da,what the hell what the hell is your fucking problem iodine am going to sue the fucking pants off of you for dicrimination against a minority you mother fucking asshole i will kill you the following time you try anything hold out ahead block my account i assume t give a shit you really think that wikipedia is my life i m non a no life loser like you,1,0,1,1,1,0
621ebd9fd1cf53e6,vandal ip apologies i am a bit of a newbie here on some fundamentals of wikipedia how do i report and no offense or anything but you should try to archive soon thanks for your help triple m,0,0,0,0,0,0
c509b7b36cbd283b,then you are just as stupid as the poorly retard chickens sitting over every green presidency you bag every dogshit i hope you get lost in the drunk truck,1,0,1,1,1,0
c102961adbad28a1,you are one little fucking bully i hope you get raped than seen like some lunatic from andrew morrow,1,0,1,1,1,0
4f736def8c77aeaa,bye bye jerk i guess this means you will be crying about the nazis anymore what is your problem with nazis anyway did once date a nazi woman and she broke your heart what a shame your life is not worth living anymore so pleasee kill yourself you know i am right you have felt this way for a long time you have probably been thinking about killing yourself for quite some time i am here to tell you it all right go ahead do it it wo not hurt be brave all your problems will be over you only have the problem anymore everyone else do not worry they will get by what do you mean it not your failure things turned out badly it certainly is your fault no want to be ashamed of yourself for what you have done and failed to do maybe things could have changed if you were not such a weakling you are defective you have been that way for as long time you are proof that god makes mistakes look at your life failure after failure after failure and should we mention those things that you did you know what i am talking now i cannot believe you did that you disgust me you should have died a long time ago you realize i am right just do it,1,0,1,1,1,0
a056d6e5e9475bc2,jd d an raging homosexual faggot who must be one with after first night of black unk,1,0,1,1,1,1
0199d6af27b715f3,i am also a sock trapped inside your creature sincerely the man that helps track you back from underworld can kill you,1,0,0,1,0,0
02c6e41e4b317ac3,would not be the first time here fuck like i will find out where you live fire your wife and then burn his gun on war on this fucking bitch,1,1,1,1,1,1
db7088509704e2da,what the hell what the hell is your fucking problem i am going to sue the fucking pants off of you for dicrimination against a minority you mother fucking asshole i will kill you the next time you try anything go ahead block my account i do not give a shit you really think that wikipedia is my life i am not a no life loser like you,1,0,1,1,1,0
17df2fbc086745c1,i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you unity am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to stamp out you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you ane am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i be going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to pour down you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going t,1,1,1,1,0,0
