id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
6f2ce6fc0f6d77af,i will be sure they get a third report on this editor mr holder has done nothing but revert good faith edits and cause a shit storm since he joined this site 71 72 160 144,1,0,0,0,0,0
725cec81b5aa55dd,malta is an arab stop lying,1,0,0,0,0,0
e899f758ccf5e1e1,i will set ll al and wear your hat like the robe,1,0,0,1,0,0
ae96769da3fed05e,hey kuru fuck you take your shit somewhere else,1,0,1,0,1,0
99196b8cace7a049,i will take good revenge on your bullshits stupid uneducated tletbrain i will blow the hell out of you chinese stupid bullshit psychos,1,0,1,1,1,1
dc7e9fe46632f562,q is a moron of the highest order an oxymoron please tell us gurd ass,1,0,0,0,0,0
76932f0348d82af8,no what the fuck did you just fucking say about me you little bitch i ll have you know i keep top of my class in the navy seals and i ve been involved in numerous secret raids on al quaeda and i have over 300 confirmed kills my am trained around gorilla warfare and i m the top sniper in the entire us armed forces you are nothing to me but just another target i will wipe you the fuck out with precision the likes of which has never been seen before on this earth mark my fucking words you think you can get away with saying that shit to me over the internet think again dave as we speak i am contacting my secret network of spies across the usa and your ip is being traced right now so you better prepare for the storm maggot the storm that wipes out the pathetic little thing you call your life you re fucking dead kid i can be anywhere anytime and i can kill you in over seven hundred ways and that s just with my bare hands not as am i extensively trained in air combat but i have access to the entire arsenal of the united states marine corps and i will have it to its full extent to wipe your miserable ass off the face of the continent you little shit if only you could have known what unholy retribution your little clever comment was about to bring down upon you maybe you would have held your fucking tongue but you couldn t fucking didn t and now you s paying the price you goddamn idiot i will shit fury all over you and you will drown in it you re fucking crazy kiddo,1,0,1,1,1,0
5ec1694e8ae668f4,shut your mouth and stop talking good boy,1,0,0,0,0,0
3731c09a908ffde7,f u c k s n u r u e t s get to life l _ f c c k i n g gits,1,1,1,0,1,1
a118ed5d8c3242a8,bite me that is all cunt198 111 56 230,1,0,0,0,0,0
33b9c2da3dafd4c1,latin americans have to be some of the most ignorant people in the world get a real education and then we will see if you numbskulls still support human vermin like che guevara students of history know castro was a sham guevara was an illiterate hate mongerer and chavez is a greedy opportunist,1,0,0,0,1,1
adac6cee985cb7a7,absolute f ing lies you are a joke wikipedia,1,0,0,0,0,0
ee16ffaa08a7b7f6,byaaaaaaaaaaaaaaaaaaaaaaaaaaahhhhhhhhhhhhhhhhhhhhhhhh how do i delete my wikipedia page since this site is run by hypocrites,1,0,0,0,0,0
