id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
6d409bf0d104f2b1,fuck you bitch kiss my ass you dickless troll i hope you never return from your gay ass vacation fuck you,1,1,1,0,1,0
160e59eb5c774995,more training less wiki please and take care of your knee please,0,0,0,0,0,0
f4dca9e513e0366f,hey hey faggot are you dead yet or are you watching your mom getting raped by filthy pigs which one is it i am coming to rape your mom and shoot your entire family you have 1 week to live you motherfucker,1,1,1,1,1,0
414d38c886ac5c52,notable players should zack mills really be listed with the notable players he did not even play a game weathermannx01 rewrite i have added a lot of information to expand the article however by no means is this perfect of course i do not have the best writing style for an encyclopedia so feel free to make edits i have all of my research so if there something that needs added or or cited or anything like that just let me know this article can be a decent one with a little work and effort weathermannx01,0,0,0,0,0,0
2579831571ff1b86,i think this ip address has been blocked i am unable to make any constructive edits to any articles grr i hate when trolls use transparent proxies and get the rest of us legitimate users blocked,0,0,0,0,0,0
007094f2f9efe035,correct dead is dead there are however leves of wounds hence the emphasis when they are serious this is not a pov adjective,0,0,0,0,0,0
23ccbd4a17afca98,i do not think i was talking to you was i i was talking to the person who blocked me now fuck off you worthless cunt,1,0,1,0,1,0
11d6562d3e5b11fd,wow you are the one commenting on how users commenting on the page are drooling retards and you try to drop this courtesy c p on me you are just as pathetic as you have always been and i hope you die in a jizz fire,1,0,0,1,1,0
9fa04abcda427549,stop editing dumbass preceding unsigned comment added by 98 169 241 244,1,0,1,0,1,0
2db5f1302a4bc726,fuck you you dumb motherfucking asshole how dare you son of a bitch fucking lock me out you worthless asshole i hate your guts go to hell you have not seen the last of me i will continue to harass you you piece of shit evryday and screw oregon bitch,1,1,1,0,1,0
52f3c0a34173f1ea,i would like to point out that rjii is the only active editor on that article pushing for it to remain in its current form three others pov warrior who takes advantage of the difficulty in deleting anything on wikipedia to push his own agenda,0,0,0,0,0,0
fe03a87bf57cef8a,only durzis call themselves as unitarians muwahhideen in order to define strengthen this tawhid belief the other even sects does not need this term,0,0,0,0,0,0
fd01eda1f4eb0088,acorn issues i was quite disappointed to have the changes i worked on earlier tonight stripped out and the page locked i wanted to include the current distress of acorn and felt i was being careful in connecting relevant news agencies that would validate the issues maybe my wording was less than ideal but the content i wanted to convey certainly should be attributed to the current and apparently ongoing actions of acorn please reconsider and possible include the context of the issue more completely thanks,0,0,0,0,0,0
045e70678901fc94,cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay utc cody is gay,1,0,0,0,0,1
621ebd9fd1cf53e6,vandal ip apologies i am a bit of a newbie here on some fundamentals of wikipedia how do i report and no offense or anything but you should try to archive soon thanks for your help triple m,0,0,0,0,0,0
bb0dce2c87c2ced9,i would appreciate if you could use more courtoisie when editing the edit summaries here and here denigrate me as a fellow editor we may disagree as much as we wish content wise but please keep it civilized i would also appreciate if you could please not revert anymore something bothers you use the talk page to clarify the misunderstanding please talk,0,0,0,0,0,0
6fe9bd609d2e7e12,so that the bullshit they teach you in england no wonder you europeans are so fucked up and genocidal you christians and muslims gained all your territories by right of conquest and thinks it okay yet you think jews are evil nazis when they do the same thing you are obviously british and you sound like a communist communists are just as evil and very similar to nazis you are the ones who started the slavery in the americas in the first place you are the ones who illegally colonized and occupied the world in the first place you are the ones who made it illegal for jews to return to israel and denied them entry into britain and british colonies during world war ii thus helping the germans carry out the holocaust furthermore you show yourself to be a typical anti semite you lie and say that jews colonized israel jews did not colonize israel jews returned to israel the arabs were the ones who illegally colonized and continue to illegally occupy israel nableezy is also an anti semite he is an arab supremacist and claims that israel is genocidal jewish supremacist racist terrorism sponsor human rights violater sic misogynist fanatic and repressive europeans and muslims should not be allowed to edit articles about jews i suggest you cease and desist from defaming jews and withdraw yourselves from the so called wikiproject israel palestine collaboration,1,0,1,0,1,1
