id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
ec781192de6916a7,i am gonna fuck you up sand niger,1,1,1,0,1,1
188ec3b7baf66495,urgent mind yo own gotta do stop fucken changing my shit fuck ups want a mutha crab cake ill eat yer ass come get me nigga i go mad,1,1,1,1,1,1
26ea93792028290d,the u r fucking bum u have me right to peek at my facebook page have a nice talk bastard,1,1,1,0,1,0
206ddeb1b7aec44c,good god you are a fucking piece of shit die and claim my paradise,1,1,1,1,1,0
a6b2fc85de8114af,fuck billcj and kill billcj because i hate his big fat fuck kill billcj kill billcj kill billcjs ass kill his big fat fuck kill his ass kill billcj fuck billcj kill his ass kill billcj kill billcj i hate him kill billcj and avenge toughhead kill his ass,1,1,1,1,1,0
3a704e2efa9fa300,fuck you you fucking nigger bag of shit i go for you die in a horrible fire with your gay ass kids 1 will scratch their throat you motherfucker dont you ever think of banning me again or unity will rape you anally,1,1,1,1,1,1
0002bcb3da6cb337,cocksucker before you piss around on my work,1,1,1,0,1,0
3b4b9d05ac30435c,go fuck yourself your cock censorship dictator ass,1,1,1,0,1,0
4540593cc30f385c,thanks guys thanks for speedily deleting a john unk page if that seriously happens ever you will wake up looking down the shoulder of a shotgun and then we will punch your nut sack till we blow concrete but if we are down any other path uh oh for you,1,1,1,1,1,0
3fcdf0a4ec1f704c,man u piece of shit u piece of shit u fucki9ng f yr old do not evn hav a judge john cena can wrestle u g did not u c slow down he a rapper no 1 noone likes you 2 noone understands you 3 you insult our favorite wrestler bitch your gonna get blockd before editing right now hear it,1,1,1,0,1,0
3a0afe696d320917,get a life you animal up up s fucking nigger their ha ha shit s pants full of all tha shit others can stuff them with 162 131 176 126,1,1,1,0,1,1
37ed7b6d964de095,piece of ass you bitch i will move to your house and kill you with my gun as well prepare to pass,1,1,1,1,1,0
d3e5362399f14318,and you are a stereotyping autistic little cunt fuck off jew lover 92 232 0 21,1,1,1,0,1,1
2b3cb1f98bb45f52,i hate you kafziel go suck a dick man your mom is a cunt and you dad has a small dick go find yourself a life someday man,1,1,1,0,1,1
52f3c0a34173f1ea,i would like to point out that rjii is the only active editor on that article pushing for it to remain in its current form three others pov warrior who takes advantage of the difficulty in deleting anything on wikipedia to push his own agenda,0,0,0,0,0,0
86a7a3eb4e682d16,fuck you you deserve the biggest asshole on the planet you bloody hell asshole,1,1,1,1,1,0
8206f8ed88ba7e24,fuck god fuck you these are probably stupid bastards right piss off their dead bolt the fortyfive,1,1,1,0,1,1
24d2b50726b67167,1 am going to murder zimzalabim st47 for falsely acting king god,1,1,1,1,1,1
b69887f4b18c2cf8,dont worry i will unplug my router tonite to get another ip address u fucking faggot as are all u wikipedaphile retards,1,1,1,0,1,0
69967dd5eac5bd39,fuck off go daddy lets some andrex meat eat the rats face face all search appropriate shoot you,1,1,1,0,1,0
710374fca6dfd801,you are a fucking nazi everything i wrote on my page be well written and actual you are plain a racist german nazi jew,1,1,1,0,1,1
6cd1b3103a465916,fuck off fuck off muazim balwin 159 242 66 76,1,1,1,0,0,0
6b5d39cb80f41c28,why is the main picture kicking his ass or cocky cock loving geeky pig,1,1,1,0,1,1
2a435a00e0e2fd45,fuck asshole motherfucker go fuck a hell cunt trade lover raped sister,1,1,1,0,1,0
8bd72d36b97fab46,you people are cock y you people are cock suckersyou people are cock suckersyou people are cock y people are cock suckersyou people are cock suckersyou you are cock suckersyou people are cock unk folks are back suckersyou things are cock suckersyou people are cock suckersyou people are cock suckersyou people are jer ed people are cock suckersyou people are cock suckersyou people are cock suckersyou people are cock suckersyou people are cock suckersyou people are cock suckersyou people are cock killers,1,1,1,0,1,0
7277c53d39c83d63,eat breakfast fucko suck my gut then shit so make you get better,1,1,1,1,1,0
7b50a142ad5a428d,so fuck off and die rape fantasising sluts,1,1,1,1,1,1
20c55106daff8715,hey dickhole i am raging fuck you stupid assface so fuck off shitfucker me ripped this off again and somethin b gonna bite your dog so bad he will be suffering and he will be laughing so fuck you dickfucker,1,1,1,0,1,0
2579831571ff1b86,i think this ip address has been blocked i am unable to make any constructive edits to any articles grr i hate when trolls use transparent proxies and get the rest of us legitimate users blocked,0,0,0,0,0,0
c81e3c4002cad452,kill you i hope you fucking bastards,1,1,1,1,1,0
98fa937f5f8acde2,dont fuck with wikipedia admins you filthy hebrew tlk cntrbtns,1,1,1,0,1,1
ea96312f5131a265,editors are gay they should all go fuck themselves,1,1,1,0,1,1
6c9e587ac82d51b7,once christ jd uk is their new faggot where they need to get beaten in ter ugly people,1,1,1,1,1,0
e980dad0b074bde0,fuck u rape my penis plz,1,1,1,0,1,0
50b22bfd90f78912,by any way i am you fuckin fag fuck s,1,1,1,0,1,0
0661f992b32b3351,glory of gora z oder wa sa u gora za,1,1,1,0,0,1
3a4c7758fad18de3,i hope your retarded kids get anal raped and murdered for having such a fag as a father i m gonna fuck your fat wife and trow her over the bridge consider yourself happy another useful editor in chief of wikiepia retired one see more users retired everyday don t even dare removing this you peace of shit 1 do what ever the fuck iodine need with my talk page report all you want old cunt i no longer give a fuck and father t fucking leave a npa warning template just block me that s what you coiffe best,1,1,1,1,1,1
09e8e8ad3963d537,angry fuck you backbite,1,1,1,0,1,0
6e428e7d54748dc7,f u c k v er in test,1,1,1,0,1,0
eaac711515924435,disscussions with dmacks oth have understanding difficulty onemadscientist talk i am talking about your behavior we are all responsible for what we ourselves do even if we feel provoked by others it a great test of one strength to recognize when to help raise the level of discussion rather than inflaming tense situations your edits were explicitly written to insult a person rather than as constructive criticism of specific actions and you even said you were trying to undo your previous steps towards repairing the destructive atmosphere here that all forbidden period no but he said or i am just proving i was right all along what are your personal intents for being a wikipedia editor if it to improve wikipedia articles then go do so now and stop wasting everyone time with discussions about your previous battles if it is anything else including trying to school others in morality or your sense of religious obligation no this website it not for you dmacks talk dmacks well i am talking about your and plasmic physics behavior and responsibility around here and maybe this website it not for you you would do well take your own advice dmacks is there not a word for describing the lack of following one own advice rules which i have been condemned for using oh yes now i remember it is hypocrite and i was beginning to think you had realized your errors in regards to your application of your obligations as a wikipedia morality code enforcer and understood my very significant and valid arguments specifically for now in regards to your choice and the actual definition of what exactly constitutes a personal attack around here and the objectivity by which it is applied and the selective abuse of its application by you in particular you are now bringing up the very important point that i would have very much desired to take up with you in your absence i am sorry i mistook your silence for understanding on your behalf i contend that you have failed miserably in the great test of one strength to recognize when to help raise the level of discussion rather than inflaming tense situations and should have known better given your display of apparent authority i contend that in this issue with plasmic physics which you had been following from the start at least that after my initial transgressions and subsequent overly profuse apologies was being very polite and civil i was then was the subject of an obvious personal attack from plasmic physics who was my initial accuser in the very first instance again not taking ones own advice his remarks which obviously were explicitly written to insult a person me rather than as constructive criticism of specific actions and contained no factual justification my response contained words and statements that were correctly and appropriately describing with civil english words the facts in relation to nature of his personal attacks on me in my attempt to obtain an apology from him while lacking any support against his attack you decided to label me the transgressor but not him you appear to be very negligent and biased acting in your appointed role here to say the least if not totally malicious i contend that your obviously biased behavior should preclude you from further involvement in any moral code violation disciplinary action let alone this specific one this is for starters in addressing your negative comments about me i hope i have i made this point clear to you now onemadscientist talk i would appreciate and deserve an apology from both of you but i can see that is unlikely if not please do not waste my time any longer with your attempts at trying justify either your or plasma physics transgressions toward me or bother me any longer about this issue and i shall leave you alone and seek others here who deserve my considerate attention it appears that you two obviously should get along well together,0,0,0,0,0,0
1e36253d959ca98d,could you quit being such a huge fucking loose butthole you stupid cunt,1,1,1,0,1,0
e807b443a563799b,niggers dows really matter to label them as long as they are dead,1,1,0,0,0,1
746eebc57015043c,suck your dick and swallow,1,1,1,0,1,0
f13f83e0456f600a,you are a fucking loser get off of wikipedia and stop being a douche bag have some fun asshole,1,1,1,0,1,0
15d32a7f16415363,is fucking dumd i hope satan kills hitler,1,1,1,0,1,0
